method,task,dataset,scene,jsr,patch_layer,coreset_ratio,freq_window,nn_topk,nn_agg,coreset_method,rowwise_coreset,memory_mode,freq_zscore,row_proto_zscore,position_soft_axis,position_soft_weight,coherence_alpha,coherence_top_ratio,text_auc,vit_patchcore_max_auc,harmonic_text_vit_patchcore_max_auc,vit_patchcore_top0p01_auc,harmonic_text_vit_patchcore_top0p01_auc,vit_patchcore_top0p05_auc,harmonic_text_vit_patchcore_top0p05_auc,vit_patchcore_top0p1_auc,harmonic_text_vit_patchcore_top0p1_auc
vit_patchcore_gallery_cls,cls,deceptive_signal,TimeSquare_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,81.67613636363636,85.79545454545455,86.25710227272727,88.31676136363636,88.63636363636364,92.61363636363636,93.11079545454545,93.99857954545455,94.38920454545455
vit_patchcore_gallery_cls,cls,deceptive_signal,TimeSquare_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,83.18536931818183,85.4403409090909,85.72443181818181,88.38778409090908,88.63636363636363,92.32954545454545,92.75568181818181,93.99857954545455,94.28267045454545
vit_patchcore_gallery_cls,cls,burst_signal,Gymnasium_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,87.42042824074073,99.9855324074074,99.9855324074074,100.0,100.0,99.68171296296296,99.69618055555556,99.18981481481481,99.18981481481481
vit_patchcore_gallery_cls,cls,burst_signal,Gymnasium_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,84.25352112676056,98.71830985915493,98.70422535211267,98.69014084507042,98.66197183098592,97.85915492957746,97.87323943661971,97.05633802816902,97.0
vit_patchcore_gallery_cls,cls,burst_signal,Gymnasium_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,79.66901408450704,97.90140845070422,97.9718309859155,98.14084507042253,98.15492957746478,96.6056338028169,96.61971830985915,95.36619718309859,95.38028169014083
vit_patchcore_gallery_cls,cls,chirp_signal,Gymnasium_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,93.73391662377766,99.89706639217705,99.90993309315492,99.84559958826557,99.84559958826557,99.62686567164178,99.63973237261966,99.52393206381885,99.56253216675245
vit_patchcore_gallery_cls,cls,chirp_signal,Gymnasium_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.540771484375,97.98583984375,97.94921875,98.10791015625,98.08349609375,98.01025390625,97.98583984375,97.802734375,97.76611328125
vit_patchcore_gallery_cls,cls,chirp_signal,Gymnasium_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,49.17628667628668,88.76863876863878,88.5882635882636,88.91293891293891,88.86483886483887,87.40981240981242,87.37373737373737,86.55603655603656,86.39971139971139
vit_patchcore_gallery_cls,cls,dsss_signal,Gymnasium_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,92.76565464895636,99.08681214421252,99.05123339658444,99.26470588235293,99.15796963946869,99.72722960151803,99.70351043643264,99.86954459203035,99.86954459203035
vit_patchcore_gallery_cls,cls,dsss_signal,Gymnasium_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,95.63567362428843,95.96774193548387,96.14563567362428,96.24051233396584,96.43026565464896,98.64800759013282,98.74288425047439,99.30028462998102,99.32400379506642
vit_patchcore_gallery_cls,cls,dsss_signal,Gymnasium_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.62642314990514,92.39800759013283,92.4573055028463,92.77751423149905,92.84867172675521,96.5370018975332,96.60815939278937,97.07068311195445,97.14184060721063
vit_patchcore_gallery_cls,cls,pulse_signal,Gymnasium_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,84.76641414141413,100.0,100.0,100.0,100.0,99.69696969696969,99.72222222222223,99.16666666666666,99.20454545454545
vit_patchcore_gallery_cls,cls,pulse_signal,Gymnasium_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.92253521126761,99.4225352112676,99.43661971830986,99.64788732394366,99.67605633802818,99.3380281690141,99.3380281690141,99.26760563380282,99.33802816901408
vit_patchcore_gallery_cls,cls,pulse_signal,Gymnasium_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,43.25682382133995,43.374689826302735,43.23821339950372,41.04218362282877,40.843672456575675,36.89826302729529,36.563275434243174,35.73200992555831,35.34739454094293
vit_patchcore_gallery_cls,cls,deceptive_signal,Gymnasium_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,41.17542613636363,87.67755681818181,87.57102272727273,90.58948863636364,90.69602272727273,96.05823863636364,96.02272727272727,96.62642045454545,96.91051136363636
vit_patchcore_gallery_cls,cls,deceptive_signal,Gymnasium_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,26.86434659090909,97.97585227272727,97.86931818181817,98.046875,97.97585227272728,99.43181818181817,99.43181818181817,100.0,100.0
vit_patchcore_gallery_cls,cls,deceptive_signal,Gymnasium_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,36.48792613636363,98.97017045454545,98.82812499999999,99.57386363636364,99.57386363636364,100.0,100.0,100.0,100.0
