method,task,dataset,scene,jsr,textual_only_p_roc,normal_patch_only_p_roc,current_harmonic_p_roc,gate_norm_beta0.25_p_roc,add_norm_beta0.25_p_roc,gate_norm_beta0.5_p_roc,add_norm_beta0.5_p_roc,gate_norm_beta1_p_roc,add_norm_beta1_p_roc,gate_norm_beta2_p_roc,add_norm_beta2_p_roc,gate_norm_beta4_p_roc,add_norm_beta4_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_normal_patch_only_p_roc_vs_formal,delta_current_harmonic_p_roc_vs_formal,delta_gate_norm_beta0.25_p_roc_vs_formal,delta_add_norm_beta0.25_p_roc_vs_formal,delta_gate_norm_beta0.5_p_roc_vs_formal,delta_add_norm_beta0.5_p_roc_vs_formal,delta_gate_norm_beta1_p_roc_vs_formal,delta_add_norm_beta1_p_roc_vs_formal,delta_gate_norm_beta2_p_roc_vs_formal,delta_add_norm_beta2_p_roc_vs_formal,delta_gate_norm_beta4_p_roc_vs_formal,delta_add_norm_beta4_p_roc_vs_formal
seg_prompt_normal_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m20db,97.61284822028,98.83931495393182,98.86188965547234,98.43000245987598,98.45059726789887,98.50520571906681,98.12302715881106,98.4969759189143,97.38717995085877,98.44135425592093,96.57166294782199,98.36307618747794,96.01538423846773,98.8619,-1.2490517797200056,-0.022585046068186898,-1.0344527666461545e-05,-0.4318975401240266,-0.41130273210113444,-0.35669428093319766,-0.7388728411889502,-0.36492408108570373,-1.47472004914124,-0.4205457440790781,-2.290237052178014,-0.49882381252206187,-2.846515761532274
seg_prompt_normal_gallery_fusion,seg,burst_signal,Gymnasium_spectrum,m30db,95.29198933772861,95.9747972131487,96.61087287616014,97.88664455868077,97.93959993284088,98.04089085472908,97.5302773088173,98.02129679356064,96.97384299993705,97.88730648339342,96.50319611679494,97.7606812869422,96.18257222046945,96.6111,-1.3191106622713846,-0.6363027868512887,-0.00022712383984924145,1.275544558680778,1.3284999328408844,1.4297908547290916,0.9191773088173107,1.4101967935606439,0.36274299993705483,1.2762064833934232,-0.10790388320505429,1.1495812869422082,-0.42852777953054044
seg_prompt_normal_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m10db,98.87654127973485,98.59392519307406,98.58345722558602,98.91518758013717,98.44889377940349,98.72611275075494,97.99396415922553,98.50870834163308,97.52557189446208,98.2928964366711,97.1486263598065,98.12531844939733,96.90056560918873,98.5835,0.29304127973485095,0.010425193074055983,-4.277441398414794e-05,0.3316875801371708,-0.13460622059650973,0.1426127507549353,-0.5895358407744737,-0.07479165836691948,-1.0579281055379255,-0.2906035633289008,-1.4348736401935014,-0.4581815506026743,-1.682934390811269
seg_prompt_normal_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m20db,98.13636659370155,96.89335126701823,96.83063050527554,98.07888683697989,97.20439596124602,97.70338418464112,96.52785111256735,97.31004005095923,95.883976798713,96.95704737800077,95.39028034317924,96.68782003204998,95.07144169721376,96.8307,1.3056665937015595,0.06265126701823931,-6.949472445683114e-05,1.2481868369798974,0.3736959612460282,0.8726841846411304,-0.3028488874326456,0.4793400509592374,-0.9467232012869999,0.1263473780007729,-1.440419656820751,-0.1428799679500088,-1.759258302786236
seg_prompt_normal_gallery_fusion,seg,chirp_signal,WeaponMuseum_spectrum,m30db,90.30519065036736,87.89558451698673,87.86046920801161,89.802123334452,86.66765254219871,88.09301757721937,85.53358748344233,86.91871563817104,84.72738907158616,86.21538396391799,84.19079096807671,85.78263145961357,83.84761228818539,87.8664,2.438790650367366,0.029184516986731524,-0.005930791988390638,1.9357233344520068,-1.1987474578012893,0.22661757721937192,-2.3328125165576665,-0.9476843618289621,-3.139010928413839,-1.6510160360820123,-3.675609031923287,-2.08376854038643,-4.0187877118146105
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Playground_spectrum,m10db,98.7835057581609,99.09680240604968,99.06484608735686,99.12447174606581,98.59334590855131,98.95871504816937,98.01224979510276,98.67660826303846,97.45655872308151,98.396878149933,97.04398477855722,98.19618823650497,96.79284471390726,99.0649,-0.2813942418390951,0.03190240604968153,-5.391264313914235e-05,0.05957174606581361,-0.4715540914486809,-0.10618495183062748,-1.0526502048972333,-0.3882917369615342,-1.6083412769184804,-0.6680218500669923,-2.0209152214427775,-0.8687117634950283,-2.272055286092737
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Playground_spectrum,m20db,97.98416322278966,97.89071168608076,97.85735738053603,98.1648515889211,97.10617865889415,97.67717282673884,96.39558264784097,97.19097350285986,95.79000056430374,96.81139518076704,95.36559319656628,96.56308760415384,95.1108136941997,97.8561,0.1280632227896632,0.03461168608076548,0.0012573805360318602,0.30875158892109766,-0.7499213411058463,-0.17892717326115815,-1.4605173521590302,-0.665126497140136,-2.066099435696259,-1.0447048192329618,-2.4905068034337177,-1.2930123958461621,-2.745286305800292
seg_prompt_normal_gallery_fusion,seg,chirp_signal,Playground_spectrum,m30db,95.31208970595438,94.89907310226721,94.83534214085033,94.61861343184572,92.68030594377956,93.562673700677,91.83478697051363,92.80037325981661,91.22634464826388,92.32237052522979,90.8178077681116,92.03477144038317,90.5742374033348,94.8356,0.47648970595437845,0.06347310226720992,-0.00025785914967002554,-0.21698656815428308,-2.1552940562204412,-1.2729262993230037,-3.000813029486366,-2.03522674018339,-3.609255351736124,-2.5132294747702133,-4.017792231888393,-2.800828559616832,-4.261362596665194
seg_prompt_normal_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m10db,98.49301497185523,98.86435403005332,98.86542589210596,98.80550990013145,98.4353607814246,98.62909958358522,98.01764950585334,98.48712274358837,97.45475976407025,98.32892150279802,97.00242109771249,98.18830636715545,96.70542343006368,98.8655,-0.3724850281447658,-0.001145969946676928,-7.410789403650142e-05,-0.05999009986854276,-0.43013921857539117,-0.2364004164147815,-0.8478504941466554,-0.3783772564116248,-1.410740235929751,-0.5365784972019725,-1.863078902287512,-0.6771936328445491,-2.1600765699363222
seg_prompt_normal_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m20db,98.00472889761782,96.797296957949,96.7510117373052,97.48092107093436,96.38972410995324,96.95223284448768,95.58209180279138,96.4728064370471,94.83960172845464,96.04157084211764,94.29127436040214,95.72201053093212,93.94562127925947,96.7502,1.254528897617817,0.0470969579489946,0.0008117373051987897,0.7307210709343508,-0.3604758900467715,0.20203284448767533,-1.1681081972086247,-0.2773935629529092,-1.9105982715453678,-0.7086291578823705,-2.458925639597865,-1.0281894690678826,-2.804578720740537
