method,task,dataset,scene,jsr,promptad_rescore_auc,normal_dist_top50_auc,fusion_raw_lam0.02_auc,fusion_minmax_lam0.02_auc,fusion_z_lam0.02_auc,fusion_raw_lam0.05_auc,fusion_minmax_lam0.05_auc,fusion_z_lam0.05_auc,fusion_raw_lam0.1_auc,fusion_minmax_lam0.1_auc,fusion_z_lam0.1_auc,fusion_raw_lam0.2_auc,fusion_minmax_lam0.2_auc,fusion_z_lam0.2_auc,fusion_raw_lam0.4_auc,fusion_minmax_lam0.4_auc,fusion_z_lam0.4_auc,formal_baseline_auc,delta_promptad_rescore_auc_vs_formal,delta_normal_dist_top50_auc_vs_formal,delta_fusion_raw_lam0.02_auc_vs_formal,delta_fusion_minmax_lam0.02_auc_vs_formal,delta_fusion_z_lam0.02_auc_vs_formal,delta_fusion_raw_lam0.05_auc_vs_formal,delta_fusion_minmax_lam0.05_auc_vs_formal,delta_fusion_z_lam0.05_auc_vs_formal,delta_fusion_raw_lam0.1_auc_vs_formal,delta_fusion_minmax_lam0.1_auc_vs_formal,delta_fusion_z_lam0.1_auc_vs_formal,delta_fusion_raw_lam0.2_auc_vs_formal,delta_fusion_minmax_lam0.2_auc_vs_formal,delta_fusion_z_lam0.2_auc_vs_formal,delta_fusion_raw_lam0.4_auc_vs_formal,delta_fusion_minmax_lam0.4_auc_vs_formal,delta_fusion_z_lam0.4_auc_vs_formal
promptad_normal_gallery_fusion,cls,chirp_signal,Gymnasium_spectrum,m10db,96.18673050615595,99.24760601915183,96.40902872777018,96.30642954856361,96.30642954856361,96.75102599179206,96.51162790697674,96.51162790697674,97.46922024623802,96.75102599179206,96.75102599179206,98.25581395348837,97.46922024623802,97.36662106703146,98.97400820793433,98.22161422708618,98.22161422708618,100.0,-3.8132694938440466,-0.7523939808481686,-3.5909712722298224,-3.6935704514363863,-3.6935704514363863,-3.248974008207938,-3.4883720930232585,-3.4883720930232585,-2.5307797537619763,-3.248974008207938,-3.248974008207938,-1.7441860465116292,-2.5307797537619763,-2.63337893296854,-1.0259917920656676,-1.778385772913822,-1.778385772913822
promptad_normal_gallery_fusion,cls,chirp_signal,Gymnasium_spectrum,m20db,91.96875,98.0,92.4375,92.21875,92.21875,92.96875,92.71875,92.6875,93.84375,93.06249999999999,93.03125,94.90625,93.96875,93.84375,96.15625,95.0625,95.0,97.625,-5.65625,0.375,-5.1875,-5.40625,-5.40625,-4.65625,-4.90625,-4.9375,-3.78125,-4.562500000000014,-4.59375,-2.71875,-3.65625,-3.78125,-1.46875,-2.5625,-2.625
promptad_normal_gallery_fusion,cls,chirp_signal,Gymnasium_spectrum,m30db,65.57403783431181,58.80626223091976,65.65557729941291,65.75342465753424,65.68819308545335,65.78604044357469,65.55772994129158,65.59034572733204,65.55772994129158,65.4924983692107,65.42726679712982,65.62296151337247,66.37312459230267,66.30789302022178,66.63405088062623,65.98173515981736,66.21004566210046,46.4775,19.09653783431181,12.328762230919757,19.178077299412912,19.27592465753424,19.21069308545335,19.308540443574692,19.080229941291584,19.112845727332036,19.080229941291584,19.014998369210694,18.94976679712982,19.145461513372474,19.895624592302674,19.830393020221784,20.156550880626234,19.504235159817362,19.732545662100456
promptad_normal_gallery_fusion,cls,dsss_signal,WeaponMuseum_spectrum,m10db,69.33212176283507,97.04679691049523,71.46751476601544,70.42253521126761,70.42253521126761,74.69332121762835,71.33121308496138,71.240345297592,78.41890049977283,72.73966378918672,72.4670604270786,84.55247614720581,76.32894139027715,75.87460245343026,89.27760109041346,80.37255792821445,79.73648341662881,69.5593,-0.22717823716492092,27.48749691049524,1.9082147660154476,0.8632352112676216,0.8632352112676216,5.134021217628359,1.7719130849613833,1.6810452975920072,8.859600499772839,3.1803637891867282,2.9077604270785997,14.993176147205816,6.769641390277158,6.315302453430263,19.718301090413462,10.813257928214455,10.177183416628822
promptad_normal_gallery_fusion,cls,dsss_signal,WeaponMuseum_spectrum,m20db,59.35938209904589,92.00363471149477,60.83598364379827,59.9727396637892,60.06360745115856,63.471149477510224,60.83598364379827,60.92685143116765,67.28759654702408,62.51703771013175,63.10767832803271,72.10358927760109,65.65197637437528,66.65152203543843,79.19127669241254,70.33166742389824,71.05860972285325,65.4702,-6.1108179009541175,26.533434711494763,-4.634216356201733,-5.497460336210807,-5.406592548841445,-1.9990505224897817,-4.634216356201733,-4.543348568832357,1.8173965470240745,-2.953162289868253,-2.3625216719672935,6.633389277601083,0.18177637437527494,1.181322035438427,13.721076692412538,4.861467423898233,5.588409722853243
promptad_normal_gallery_fusion,cls,dsss_signal,WeaponMuseum_spectrum,m30db,53.021353930031815,66.56065424806906,53.566560654248065,53.29395729213993,53.24852339845525,54.47523852794185,54.06633348477965,53.70286233530213,55.474784189005,55.0658791458428,54.47523852794185,57.428441617446616,56.519763743752826,56.019990913221264,61.5174920490686,59.65470240799636,58.20081781008633,49.2958,3.725553930031815,17.264854248069057,4.270760654248065,3.998157292139929,3.952723398455248,5.179438527941848,4.770533484779648,4.407062335302129,6.178984189005,5.7700791458428,5.179438527941848,8.132641617446616,7.223963743752826,6.724190913221264,12.2216920490686,10.35890240799636,8.905017810086328
promptad_normal_gallery_fusion,cls,dsss_signal,Playground_spectrum,m10db,77.623732856291,99.97018485390579,80.97793679189029,78.59272510435301,78.26475849731665,84.9731663685152,79.60644007155636,79.21884317233156,90.13118664281454,81.36553369111509,80.79904591532498,95.64698867024448,84.82409063804413,83.33333333333334,98.74776386404294,89.83303518187239,87.53726893261778,92.576,-14.952267143708994,7.394184853905799,-11.598063208109707,-13.983274895646986,-14.311241502683345,-7.602833631484799,-12.96955992844363,-13.357156827668433,-2.4448133571854527,-11.210466308884904,-11.776954084675012,3.070988670244489,-7.751909361955867,-9.24266666666665,6.171763864042944,-2.7429648181276036,-5.038731067382216
promptad_normal_gallery_fusion,cls,dsss_signal,Playground_spectrum,m20db,66.68157423971377,100.0,69.3500298151461,67.65056648777579,67.65056648777579,73.4645199761479,68.63446630888492,68.72391174716756,79.63625521765056,70.78115682766847,71.10912343470484,89.53488372093022,75.28324388789505,75.81991651759094,97.34645199761478,82.67740011926058,83.48240906380443,91.3536,-24.672025760286232,8.6464,-22.0035701848539,-23.70303351222421,-23.70303351222421,-17.889080023852102,-22.719133691115076,-22.629688252832437,-11.717344782349443,-20.572443172331532,-20.24447656529516,-1.8187162790697755,-16.070356112104946,-15.53368348240906,5.992851997614778,-8.676199880739418,-7.871190936195575
promptad_normal_gallery_fusion,cls,dsss_signal,Playground_spectrum,m30db,63.46153846153846,99.04591532498509,64.93738819320215,64.07274895646988,64.43053070960048,67.44186046511628,64.81812760882526,65.29516994633275,70.90041741204533,66.04054859868815,67.44186046511628,78.20512820512822,69.02206320810973,70.93023255813954,88.70005963029219,74.23971377459749,78.32438878950508,79.994,-16.53246153846154,19.05191532498509,-15.056611806797846,-15.92125104353012,-15.563469290399524,-12.552139534883722,-15.175872391174735,-14.698830053667251,-9.093582587954671,-13.953451401311852,-12.552139534883722,-1.7888717948717812,-10.971936791890272,-9.063767441860463,8.706059630292188,-5.75428622540251,-1.6696112104949208
promptad_normal_gallery_fusion,cls,dsss_signal,TimeSquare_spectrum,m10db,52.17650566487776,99.82110912343471,55.008944543828264,53.60763267740012,53.1902206320811,59.809183064997015,56.290995825879556,54.97912939773405,66.78592725104352,60.22659511031604,58.02027429934407,77.78771615980918,67.62075134168157,63.98330351818724,93.20214669051879,78.92069171138938,73.43470483005366,93.8879,-41.71139433512224,5.9332091234347075,-38.87895545617174,-40.28026732259988,-40.6976793679189,-34.07871693500299,-37.596904174120446,-38.90877060226595,-27.101972748956484,-33.66130488968396,-35.867625700655935,-16.100183840190823,-26.267148658318433,-29.90459648181276,-0.685753309481214,-14.967208288610621,-20.45319516994634
