method,task,dataset,scene,jsr,textual_only_p_roc,clip_gallery_only_p_roc,gate_clip_beta0.25_p_roc,resnet18_layer2_gallery_only_p_roc,gate_resnet18_layer2_beta0.25_p_roc,gate_resnet18_layer2_beta0.5_p_roc,gate_resnet18_layer2_beta1_p_roc,gate_resnet18_layer2_beta2_p_roc,resnet18_layer3_gallery_only_p_roc,gate_resnet18_layer3_beta0.25_p_roc,gate_resnet18_layer3_beta0.5_p_roc,gate_resnet18_layer3_beta1_p_roc,gate_resnet18_layer3_beta2_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_clip_gallery_only_p_roc_vs_formal,delta_gate_clip_beta0.25_p_roc_vs_formal,delta_resnet18_layer2_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer2_beta1_p_roc_vs_formal,delta_gate_resnet18_layer2_beta2_p_roc_vs_formal,delta_resnet18_layer3_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer3_beta1_p_roc_vs_formal,delta_gate_resnet18_layer3_beta2_p_roc_vs_formal
seg_resnet_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m10db,76.04169652405088,69.8474776040999,73.13166484181717,75.88580900904293,75.10264083546019,72.06725472626542,69.409165257787,67.69700795159426,78.2618908020475,75.31581605357889,72.34084508708474,69.78916131300304,68.17155343205377,70.4504,5.591296524050875,-0.6029223959001087,2.6812648418171676,5.435409009042928,4.652240835460191,1.6168547262654158,-1.0412347422130068,-2.7533920484057433,7.811490802047501,4.865416053578883,1.8904450870847427,-0.6612386869969669,-2.278846567946232
seg_resnet_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m20db,81.41786201789026,72.77539001212986,80.96348238803184,84.48651622206252,85.95444194291709,84.77465853169267,83.03845258905065,81.62719066208143,83.77969317584513,84.90144901908431,83.35194690931161,81.32599964369308,79.77906157626083,73.4672,7.950662017890252,-0.691809987870144,7.49628238803183,11.019316222062514,12.48724194291708,11.30745853169266,9.571252589050644,8.159990662081427,10.31249317584512,11.434249019084305,9.884746909311602,7.858799643693075,6.311861576260824
seg_resnet_gallery_fusion,seg,dsss_signal,TimeSquare_spectrum,m30db,79.37461623176893,86.70612362327842,85.6949053042887,86.00312503263648,85.23262470994584,85.24366959534991,84.45903319485036,83.58350233357486,85.35644999223955,84.50839315107659,84.18080365415634,83.1846073132557,82.25867746622492,86.7684,-7.393783768231074,-0.06227637672158437,-1.0734946957113038,-0.7652749673635242,-1.5357752900541612,-1.5247304046500858,-2.3093668051496365,-3.184897666425144,-1.4119500077604528,-2.2600068489234104,-2.5875963458436644,-3.583792686744303,-4.509722533775076
seg_resnet_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m10db,59.947712798379506,67.4198080450156,62.07693491039761,76.79756159933197,69.35935222808206,69.19162934530657,67.97831050047287,67.03520091690336,70.53719093410353,58.867054289711504,57.54762212556119,56.175891361195575,55.24927734937404,67.4565,-7.5087872016205,-0.036691954984405584,-5.379565089602394,9.341061599331965,1.902852228082054,1.7351293453065608,0.521810500472867,-0.4212990830966419,3.0806909341035293,-8.589445710288501,-9.908877874438815,-11.28060863880443,-12.207222650625965
seg_resnet_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m20db,83.82603400452662,82.19748059025879,86.11312677901634,86.67569560208773,86.97887803209991,85.66558293536683,84.21690187760697,83.17422481376173,81.4240561802618,83.36256418709452,80.6814891477639,78.30026409171789,76.76596629361892,82.721,1.1050340045266154,-0.5235194097412119,3.392126779016337,3.9546956020877246,4.25787803209991,2.9445829353668245,1.4959018776069684,0.45322481376172163,-1.2969438197382033,0.6415641870945166,-2.0395108522361056,-4.420735908282111,-5.955033706381087
seg_resnet_gallery_fusion,seg,dsss_signal,Gymnasium_spectrum,m30db,56.88024013351944,70.15250880563019,70.19183353428363,81.69300659018303,72.09601011932325,74.7887383384211,75.96397317597904,76.41211139352987,76.75951700566661,69.60526411958791,71.23330159289483,71.82564546530783,71.99793374659575,70.0468,-13.166559866480561,0.10570880563018648,0.14503353428362686,11.646206590183027,2.0492101193232486,4.741938338421093,5.9171731759790305,6.365311393529865,6.712717005666605,-0.4415358804120899,1.1865015928948281,1.7788454653078247,1.951133746595744
seg_resnet_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m20db,98.94499985048243,99.52310824843629,99.54722894477686,99.59592974593195,99.54032301154743,99.56640823521968,99.56466440324658,99.54376512326783,99.0950218480435,99.42377277371831,99.41475774094262,99.36550072713482,99.29080406458945,99.5716,-0.6266001495175715,-0.048491751563716434,-0.02437105522314198,0.024329745931950697,-0.03127698845257498,-0.005191764780320796,-0.006935596753422146,-0.027834876732171665,-0.47657815195650244,-0.14782722628169154,-0.15684225905738458,-0.20609927286518825,-0.28079593541055203
seg_resnet_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m30db,97.32953314054757,95.95808606519547,98.98866860210602,98.93989484852415,99.08406925425777,99.0201432049973,98.76941704820352,98.5014871547602,96.77841065587509,98.89005143213556,98.87750384889115,98.70746024619504,98.50046236202128,96.2516,1.0779331405475716,-0.2935139348045226,2.737068602106021,2.6882948485241513,2.8324692542577736,2.7685432049973002,2.5178170482035256,2.249887154760202,0.5268106558750958,2.638451432135568,2.6259038488911557,2.4558602461950443,2.248862362021285
seg_resnet_gallery_fusion,seg,pulse_signal,WeaponMuseum_spectrum,m40db,76.09920481634096,74.52673593486256,88.38693508524675,82.38998884611462,83.38127797589911,84.58959438568363,84.96396255687888,84.96918233791315,76.82705435433867,82.60207250300331,82.58688426397794,82.01979199851725,81.49399226351292,74.8164,1.2828048163409562,-0.289664065137444,13.570535085246746,7.5735888461146175,8.564877975899108,9.773194385683624,10.147562556878881,10.152782337913152,2.0106543543386692,7.785672503003312,7.770484263977934,7.203391998517247,6.677592263512921
seg_resnet_gallery_fusion,seg,pulse_signal,Playground_spectrum,m20db,99.41550176381399,99.66777084191202,99.67950482847756,99.61648234724436,99.67910490350359,99.67867195192433,99.65953071862702,99.6310453668625,98.7959810769194,99.6450941831895,99.62791222944719,99.57943950441765,99.51676703169149,99.6769,-0.261398236186011,-0.009129158087986866,0.002604828477558385,-0.060417652755646145,0.0022049035035820452,0.0017719519243257764,-0.017369281372978662,-0.04585463313750893,-0.8809189230805998,-0.031805816810503984,-0.048987770552813004,-0.0974604955823537,-0.16013296830851687
